ENGLISH WORD,THAI WORD,THAI SENTENCE,ENGLISH SENTENCE,EXTRACTED WORD,BLANKED SENTENCE,EXTRACTED THAI WORD,BLANKED THAI SENTENCE
identify,พิสูจน์เอกลักษณ์,ทันตแพทย์อาสาสมัครช่วยพิสูจน์เอกลักษณ์ศพมากมายที่เกิดจากคลื่นยักษ์สึนะมิ,Volunteer dentists are helping to identify the many corpses left in the wake of the tsunami,identify,Volunteer dentists are helping to _______ the many corpses left in the wake of the tsunami,พิสูจน์เอกลักษณ์,ทันตแพทย์อาสาสมัครช่วย_______ศพมากมายที่เกิดจากคลื่นยักษ์สึนะมิ
identity,เอกลักษณ์,นวนิยายเรื่องนี้เขียนมาจากการแสวงหาเอกลักษณ์ของตัวผู้เขียน (ประพันธ์),The novel is based on the author's search for his own identity.,identity,The novel is based on the author's search for his own _______.,เอกลักษณ์,นวนิยายเรื่องนี้เขียนมาจากการแสวงหา_______ของตัวผู้เขียน (ประพันธ์)
ideology,อุดมคติ,ประธานวุฒิสภาต้องมีอุดมคติ และมีวิสัยทัศน์,The president of the senate must have ideology and vision.,ideology,The president of the senate must have _______ and vision.,อุดมคติ,ประธานวุฒิสภาต้องมี_______ และมีวิสัยทัศน์
ideological,เชิงอุดมคติ,นักการเมืองประเภทนี้ได้ทำให้ความหมายในเชิงอุดมคติของประชานิยมสูญเสียไป,This type of politician has caused populism to lose ideological meaning.,ideological,This type of politician has caused populism to lose _______ meaning.,เชิงอุดมคติ,นักการเมืองประเภทนี้ได้ทำให้ความหมายใน_______ของประชานิยมสูญเสียไป
illegal,ผิดกฎหมาย,เขาเอาหวยใต้ดินที่ผิดกฎหมาย มาทำเป็นหวยบนดินที่ถูกกฎหมาย,They have taken the illegal underground lottery and made it a legal above-ground lottery.,illegal,They have taken the _______ underground lottery and made it a legal above-ground lottery.,ผิดกฎหมาย,เขาเอาหวยใต้ดินที่_______ มาทำเป็นหวยบนดินที่ถูกกฎหมาย
"image, n. (popular conception)",ภาพลักษณ์,นายกรัฐมนตรีส่งเสริมภาพลักษณ์ทางการเมืองของท่าน โดยไปปรากฏตัวตามที่สาธารณะหลายต่อหลายหน,The prime minister promoted his political image by appearing at many public events.,image,The prime minister promoted his political _______ by appearing at many public events.,ภาพลักษณ์,นายกรัฐมนตรีส่งเสริม_______ทางการเมืองของท่าน โดยไปปรากฏตัวตามที่สาธารณะหลายต่อหลายหน
"image, n. (picture)",ภาพ,จอตารับภาพจากแก้วตา แล้วเชื่อมต่อกับประสาทตา,"The retina receives images from the lens, and connects with the optic nerve.",image,"The retina receives _______ from the lens, and connects with the optic nerve.",ภาพ,จอตารับ_______จากแก้วตา แล้วเชื่อมต่อกับประสาทตา
"impact, n. (effect)",ผลกระทบ,คณะวิจัยจะสำรวจผลกระทบด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี,The research team will survey the environmental impact for a period of 10 years.,impact,The research team will survey the environmental _______ for a period of 10 years.,ผลกระทบ,คณะวิจัยจะสำรวจ_______ด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี
"impact, v. (have effect)",ส่งผลกระทบ,(ถ้า) (หาก)มีความขัดแย้งเกิดขึ้น จะส่งผลกระทบต่ออุปทานน้ำมัน,"If conflicts arise, it will impact oil supplies.",impact,"If conflicts arise, it will _______ oil supplies.",ส่งผลกระทบ,(ถ้า) (หาก)มีความขัดแย้งเกิดขึ้น จะ_______ต่ออุปทานน้ำมัน
"impact, n. (physical force)",แรงกระแทก,แรงกระแทกทำให้ลูกกรงสั่นสะเทือนอย่างแรง,The impact shook the bars of the cage violently.,impact,The _______ shook the bars of the cage violently.,แรงกระแทก,_______ทำให้ลูกกรงสั่นสะเทือนอย่างแรง
income,รายได้,เขามีรายได้เพิ่มขึ้นจากวันละ 400 บาทเป็น 800 บาท,His income has increased from 400 to 800 baht per day.,income,His _______ has increased from 400 to 800 baht per day.,รายได้,เขามี_______เพิ่มขึ้นจากวันละ 400 บาทเป็น 800 บาท
indicate,บ่งชี้,ไม่มีสิ่งใดบ่งชี้ถึงสิ่งที่บรรจุอยู่ภายในกล่อง (เครื่องประดับเป็นตัวบ่งชี้ถึงฐานะของผู้สวมใส่),There was nothing to indicate the contents of the box.,indicate,There was nothing to _______ the contents of the box.,บ่งชี้,ไม่มีสิ่งใด_______ถึงสิ่งที่บรรจุอยู่ภายในกล่อง (เครื่องประดับเป็นตัว_______ถึงฐานะของผู้สวมใส่)
"individual, n.",บุคคล,(มี)บุคคลผู้มีใจเอื้อเฟื้อหลายท่าน(ที่) (ได้)ให้การสนับสนุนเงินช่วยเหลือ(ทาง)การศึกษา,There are many generous individuals who have supported the education fund.,individual,There are many generous _______ who have supported the education fund.,บุคคล,(มี)_______ผู้มีใจเอื้อเฟื้อหลายท่าน(ที่) (ได้)ให้การสนับสนุนเงินช่วยเหลือ(ทาง)การศึกษา
"individual, adj.",รายบุคคล,โรงเรียนนี้ส่งเสริมสุขภาพของร่างกาย (โดย) (ด้วย)การ(ปฎิบัติ) (ทำ)กิจกรรมเป็น(ทั้ง)กลุ่ม และรายบุคคล,This school encourages physical fitness through both team and individual activities.,individual,This school encourages physical fitness through both team and _______ activities.,รายบุคคล,โรงเรียนนี้ส่งเสริมสุขภาพของร่างกาย (โดย) (ด้วย)การ(ปฎิบัติ) (ทำ)กิจกรรมเป็น(ทั้ง)กลุ่ม และ_______
inevitably,อย่างหลีกเลี่ยงไม่ได้,ปีนี้จังหวัดยโสธรจะประสบภาวะภัยแล้งอย่างหลีกเลี่ยงไม่ได้,This year Yasothon province will inevitably experience a drought.,inevitably,This year Yasothon province will _______ experience a drought.,อย่างหลีกเลี่ยงไม่ได้,ปีนี้จังหวัดยโสธรจะประสบภาวะภัยแล้ง_______
"inflation, (economics)",เงินเฟ้อ,เงินเฟ้อพื้นฐาน(ปีนี้จะ)อยู่ที่ร้อยละ 2.4-2.6,Base inflation is around 2.4 to 2.6 percent.,inflation,Base _______ is around 2.4 to 2.6 percent.,เงินเฟ้อ,_______พื้นฐาน(ปีนี้จะ)อยู่ที่ร้อยละ 2.4-2.6
"initial, adj.",เริ่มแรก,เหตุจูงใจเริ่มแรกของเด็กๆ ที่เข้าไปร่วมแข่งขันชิงรางวัลนี้แตกต่างกันไป,The children's initial motives for competing for the awards were varied.,initial,The children's _______ motives for competing for the awards were varied.,เริ่มแรก,เหตุจูงใจ_______ของเด็กๆ ที่เข้าไปร่วมแข่งขันชิงรางวัลนี้แตกต่างกันไป
initiate,ริเริ่ม,ประเทศญี่ปุ่นไม่คิดที่จะริเริ่มพัฒนาอาวุธนิวเคลียร์,Japan is not thinking of initiating nuclear weapons development.,initiate,Japan is not thinking of _______ nuclear weapons development.,ริเริ่ม,ประเทศญี่ปุ่นไม่คิดที่จะ_______พัฒนาอาวุธนิวเคลียร์
"injured, adj.",บาดเจ็บ,มีผู้เสียชีวิตและบาดเจ็บเป็นจำนวนมากจากเหตุการณ์ไฟไหม้เมื่อวาน,There were many people killed and injured in yesterday's fire.,injured,There were many people killed and _______ in yesterday's fire.,บาดเจ็บ,มีผู้เสียชีวิตและ_______เป็นจำนวนมากจากเหตุการณ์ไฟไหม้เมื่อวาน
innovation,นวัตกรรม,แต่ละกลุ่มได้รวบรวมสุดยอดนวัตกรรมใหม่ๆ จากผู้ผลิตทั้งไทยและนานาชาติ,Each group collected the best new innovations from both Thai and international manufacturers.,innovation,Each group collected the best new _______ from both Thai and international manufacturers.,นวัตกรรม,แต่ละกลุ่มได้รวบรวมสุดยอด_______ใหม่ๆ จากผู้ผลิตทั้งไทยและนานาชาติ
inspect,ตรวจ,ท่านผู้โดยสารทุกท่าน โปรดตรวจสัมภาระของท่านก่อนลงจากรถ,"Passengers, please inspect your belongings before disembarking.",inspect,"Passengers, please _______ your belongings before disembarking.",ตรวจ,ท่านผู้โดยสารทุกท่าน โปรด_______สัมภาระของท่านก่อนลงจากรถ
"institute, n.",สถาบัน,สถาบันอุดมศึกษาของไทยได้เพิ่มจำนวนขึ้นในช่วงทศวรรษที่ผ่านมา,The number of Thai institutes of higher learning have increased in the last decade.,institute,The number of Thai _______ of higher learning have increased in the last decade.,สถาบัน,_______อุดมศึกษาของไทยได้เพิ่มจำนวนขึ้นในช่วงทศวรรษที่ผ่านมา
insufficient,ไม่เพียงพอ,เนื่องจากยังมีหลักฐานไม่เพียงพอ ตำรวจจึงไม่สามารถปิดคดีได้,"Due to insufficient evidence, the police were unable to close the case.",insufficient,"Due to _______ evidence, the police were unable to close the case.",ไม่เพียงพอ,เนื่องจากยังมีหลักฐาน_______ ตำรวจจึงไม่สามารถปิดคดีได้
"intelligence, n. (information)",ข่าวกรอง,ประธานาธิบดีบุชสั่งการให้หน่วยข่าวกรองยืนยันว่า สายลับภายในประเทศอิหร่านน่าเชื่อถือมากน้อยแค่ไหน,President Bush ordered intelligence units to confirm how reliable agents in Iran are.,intelligence,President Bush ordered _______ units to confirm how reliable agents in Iran are.,ข่าวกรอง,ประธานาธิบดีบุชสั่งการให้หน่วย_______ยืนยันว่า สายลับภายในประเทศอิหร่านน่าเชื่อถือมากน้อยแค่ไหน
"intelligence, n. (ability)",เชาวน์ปัญญา,มูลนิธิกองทุนกอริลลาได้ทำการศึกษาวิจัยเชาวน์ปัญญาของกอริลลามาหลายปีแล้ว,The Gorilla Foundation has studied gorilla intelligence for many years.,intelligence,The Gorilla Foundation has studied gorilla _______ for many years.,เชาวน์ปัญญา,มูลนิธิกองทุนกอริลลาได้ทำการศึกษาวิจัย_______ของกอริลลามาหลายปีแล้ว
internal,ภายใน,การลาออกจะไม่ก่อให้เกิดความกดดันภายใน เพราะรัฐมนตรีที่เหลือยังสามารถทำงานต่อไปได้,"The resignation will not create internal pressure, since the remaining ministers are still able to perform.",internal,"The resignation will not create _______ pressure, since the remaining ministers are still able to perform.",ภายใน,การลาออกจะไม่ก่อให้เกิดความกดดัน_______ เพราะรัฐมนตรีที่เหลือยังสามารถทำงานต่อไปได้
internal,ภายใน,มีอุปสรรคจากปัจจัยทั้งภายในและภายนอก,There are obstacles from both internal and external factors.,internal,There are obstacles from both _______ and external factors.,ภายใน,มีอุปสรรคจากปัจจัยทั้ง_______และภายนอก
"invest, v. (finance)",ลงทุน,ประเทศควรจะลงทุนปลูกพืชเพื่อผลิตเชื้อเพลิงทางเลือก เพื่อเป็นการรับประกันความมั่นคงของประเทศ,The country should invest in cultivation of alternative fuels to ensure the country's security.,invest,The country should _______ in cultivation of alternative fuels to ensure the country's security.,ลงทุน,ประเทศควรจะ_______ปลูกพืชเพื่อผลิตเชื้อเพลิงทางเลือก เพื่อเป็นการรับประกันความมั่นคงของประเทศ
investigate,ตรวจสอบ,องค์กรนี้ได้รับมอบหมายให้ตรวจสอบคำร้องเรียนของผู้เลี้ยงปลาดุก,The organization is tasked with investigating the claims of the catfish farmers.,investigate,The organization is tasked with _______ the claims of the catfish farmers.,ตรวจสอบ,องค์กรนี้ได้รับมอบหมายให้_______คำร้องเรียนของผู้เลี้ยงปลาดุก
"issue, n. (topic)",ประเด็น,ประเด็นนี้จะมีการร้องเรียนไปถึงสหประชาชาติ,This issue will be petitioned to the United Nations.,issue,This _______ will be petitioned to the United Nations.,ประเด็น,_______นี้จะมีการร้องเรียนไปถึงสหประชาชาติ
journal,วารสาร,รายงานฉบับเต็มจะตีพิมพ์ลงในวารสารวิทยาศาสตร์,The full report will be published in science journals.,journal,The full report will be published in science _______.,วารสาร,รายงานฉบับเต็มจะตีพิมพ์ลงใน_______วิทยาศาสตร์
"labor, n.",แรงงาน,แรงงานไทยจะต้องได้รับการพัฒนาเพื่อที่จะแข่งขันได้ในตลาดแรงงานนานาชาติ,Thai labor must be improved to compete in the international labor market.,labor,Thai _______ must be improved to compete in the international _______ market.,แรงงาน,_______ไทยจะต้องได้รับการพัฒนาเพื่อที่จะแข่งขันได้ในตลาด_______นานาชาติ
"legal, (not illegal)",ถูกกฎหมาย,มีความพยายามที่จะเอาหวยใต้ดินที่ผิดกฎหมาย มาทำให้เป็นหวยบนดินที่ถูกกฎหมาย,There are efforts to take the illegal underground lottery and make it a legal above-ground lottery.,legal,There are efforts to take the illegal underground lottery and make it a _______ above-ground lottery.,ถูกกฎหมาย,มีความพยายามที่จะเอาหวยใต้ดินที่ผิดกฎหมาย มาทำให้เป็นหวยบนดินที่_______
"liberal, adj. (politics)",เสรีนิยม,ผู้แทนจากพรรคเดโมแครตนั้นมักจะเป็นพวกเสรีนิยม,Representatives from the Democratic Party tend to be liberals.,liberal,Representatives from the Democratic Party tend to be _______.,เสรีนิยม,ผู้แทนจากพรรคเดโมแครตนั้นมักจะเป็นพวก_______
logic,ตรรกะ,ลองหลับตาแล้วใช้ตรรกะพิจารณาดู,Close your eyes and use logic to consider it.,logic,Close your eyes and use _______ to consider it.,ตรรกะ,ลองหลับตาแล้วใช้_______พิจารณาดู
"maintain, (confirm)",ยืนยัน,ประธานรัฐสภาได้ยืนยันว่าเขาได้ทำสิ่งที่ถูกต้องแล้ว,The House Speaker maintained he had done the right thing.,maintain,The House Speaker _______ he had done the right thing.,ยืนยัน,ประธานรัฐสภาได้_______ว่าเขาได้ทำสิ่งที่ถูกต้องแล้ว
"maintain, (preserve)",รักษา,เพื่อรักษากฎระเบียบของโรงเรียน ผมต้องทำอะไรสักอย่าง,"In order to maintain the school regulations, I had to take action.",maintain,"In order to _______ the school regulations, I had to take action.",รักษา,เพื่อ_______กฎระเบียบของโรงเรียน ผมต้องทำอะไรสักอย่าง
"media, n. (mass media)",สื่อมวลชน,เราเชื่อกันว่า การจำกัดเสรีภาพของสื่อมวลชนก็จะสิ้นสุดลงหลังสิ้นสุดระบอบทักษิณ,We believed that restrictions of media freedom would end after the end of the Thaksin regime.,media,We believed that restrictions of _______ freedom would end after the end of the Thaksin regime.,สื่อมวลชน,เราเชื่อกันว่า การจำกัดเสรีภาพของ_______ก็จะสิ้นสุดลงหลังสิ้นสุดระบอบทักษิณ
"media, n. (pl. of medium)",สื่อ,สื่อทุกแขนง ไม่ว่าจะเป็นวิทยุโทรทัศน์ หรือสิ่งพิมพ์ ต่างก็มีอิทธิพลทางความคิดทั้งสิ้น,"All branches of the media influence opinion--whether radio, television, or print.",media,"All branches of the _______ influence opinion--whether radio, television, or print.",สื่อ,_______ทุกแขนง ไม่ว่าจะเป็นวิทยุโทรทัศน์ หรือสิ่งพิมพ์ ต่างก็มีอิทธิพลทางความคิดทั้งสิ้น
"medium, n. (sg. of media)",สื่อ,ภาพยนตร์เป็นสื่ออย่างหนึ่งที่ไปถึงได้ทุกที่โดยไร้ขอบเขตจำกัด,Film is a medium that is not bound in its reach.,medium,Film is a _______ that is not bound in its reach.,สื่อ,ภาพยนตร์เป็น_______อย่างหนึ่งที่ไปถึงได้ทุกที่โดยไร้ขอบเขตจำกัด
medical,แพทย์,"ศูนย์แพทย์แห่งนี้ให้การรักษาคนปีละกว่า 50,000 คน","The medical centre treats more than 50,000 each year.",medical,"The _______ centre treats more than 50,000 each year.",แพทย์,"ศูนย์_______แห่งนี้ให้การรักษาคนปีละกว่า 50,000 คน"
medical,แพทย์,สองคนเป็นนักศึกษาหนุ่มจากวิทยาลัยแพทย์,Two of them were young students from a medical college.,medical,Two of them were young students from a _______ college.,แพทย์,สองคนเป็นนักศึกษาหนุ่มจากวิทยาลัย_______
"mental, adj. (of the mind)",ทางจิต,สตรีสูงอายุที่ใช้ยาตัวนี้ มีความบกพร่องทางจิตน้อยกว่าผู้ที่ไม่ใช้ยา,Older women who took this drug had less mental impairment than non-users.,mental,Older women who took this drug had less _______ impairment than non-users.,ทางจิต,สตรีสูงอายุที่ใช้ยาตัวนี้ มีความบกพร่อง_______น้อยกว่าผู้ที่ไม่ใช้ยา
method,วิธีการ,นี่คือวิธีการใหม่ล่าสุดที่ใช้ในการเพิ่มจำนวนนักลงทุน,This is the latest method for increasing the number of investors.,method,This is the latest _______ for increasing the number of investors.,วิธีการ,นี่คือ_______ใหม่ล่าสุดที่ใช้ในการเพิ่มจำนวนนักลงทุน
minimum,ขั้นต่ำ,ในพื้นที่เขต 2 ซึ่งมี 6 จังหวัด อัตราค่าจ้างขั้นต่ำอยู่ที่วันละ 140 บาท,"In the area of district 2, which has six provinces, the minimum wage is 140 baht per day.",minimum,"In the area of district 2, which has six provinces, the _______ wage is 140 baht per day.",ขั้นต่ำ,ในพื้นที่เขต 2 ซึ่งมี 6 จังหวัด อัตราค่าจ้าง_______อยู่ที่วันละ 140 บาท
"ministry, n. (government)",กระทรวง,กระทรวงได้ขอร้องให้หลักสูตรเราครอบคลุมอย่างน้อย 60 เปอร์เซ็นต์ของคู่มือใหม่,The ministry has requested that we cover at least 60 percent of the new guidelines.,ministry,The _______ has requested that we cover at least 60 percent of the new guidelines.,กระทรวง,_______ได้ขอร้องให้หลักสูตรเราครอบคลุมอย่างน้อย 60 เปอร์เซ็นต์ของคู่มือใหม่
"ministry, n. (government)",กระทรวง,นายสุทัศน์กล่าวว่า กระทรวงมหาดไทยได้ประสานงานกับกระทรวงการต่างประเทศเรียบร้อยแล้ว,Mr. Suthat stated that the Ministry of Interior has coordinated with the Ministry of Foreign Affairs,ministry,Mr. Suthat stated that the Ministry of Interior has coordinated with the Ministry of Foreign Affairs,กระทรวง,นายสุทัศน์กล่าวว่า _______มหาดไทยได้ประสานงานกับ_______การต่างประเทศเรียบร้อยแล้ว
"motion, n. (politics)",ญัตติ,สภาผู้แทนราษฎรจะยื่นญัตติต่อคณะกรรมาธิการ,The House of Representatives will file a motion with the committee.,motion,The House of Representatives will file a _______ with the committee.,ญัตติ,สภาผู้แทนราษฎรจะยื่น_______ต่อคณะกรรมาธิการ
motive,เหตุจูงใจ,เหตุจูงใจเริ่มแรก ที่เข้าไปร่วมชิงรางวัลนี้แตกต่างกันไป,Initial motives for competing for the awards were varied.,motive,Initial _______ for competing for the awards were varied.,เหตุจูงใจ,_______เริ่มแรก ที่เข้าไปร่วมชิงรางวัลนี้แตกต่างกันไป
network,เครือข่าย,เครือข่ายผู้ก่อการร้ายยังคงดำเนินอยู่,The terrorist network continues to operate.,network,The terrorist _______ continues to operate.,เครือข่าย,_______ผู้ก่อการร้ายยังคงดำเนินอยู่
normal,ปกติ,การหลงลืมปกติที่เป็นไปตามวัยนั้นอาจจะกลายเป็นอาการสมองเสื่อมอย่างอ่อนได้,Normal age-related forgetfulness can become mild cognitive impairment.,normal,Normal age-related forgetfulness can become mild cognitive impairment.,ปกติ,การหลงลืม_______ที่เป็นไปตามวัยนั้นอาจจะกลายเป็นอาการสมองเสื่อมอย่างอ่อนได้
notion,แนวคิด,แนวคิดเรื่องระบบคะแนนไม่ค่อยได้รับความนิยมในยุโรป,The notion of a points system has been slow to catch on in Europe.,notion,The _______ of a points system has been slow to catch on in Europe.,แนวคิด,_______เรื่องระบบคะแนนไม่ค่อยได้รับความนิยมในยุโรป
nuclear,ปรมาณู,ญี่ปุ่นไม่คิดที่จะริเริ่มพัฒนาอาวุธปรมาณู,Japan is not thinking of initiating nuclear weapons development.,nuclear,Japan is not thinking of initiating _______ weapons development.,ปรมาณู,ญี่ปุ่นไม่คิดที่จะริเริ่มพัฒนาอาวุธ_______
nuclear,ปรมาณู,มีการเสนอให้สร้างโรงไฟฟ้าพลังงานปรมาณู เพื่อลดความรุนแรงของวิกฤติน้ำมัน,"It has been suggested to build a nuclear power plant, to reduce the severity of the oil crisis.",nuclear,"It has been suggested to build a _______ power plant, to reduce the severity of the oil crisis.",ปรมาณู,มีการเสนอให้สร้างโรงไฟฟ้าพลังงาน_______ เพื่อลดความรุนแรงของวิกฤติน้ำมัน
objective,วัตถุประสงค์,โครงการวิจัยจะบรรลุวัตถุประสงค์ภายในปีนี้,The research project will fulfill its objectives within this year.,objective,The research project will fulfill its _______ within this year.,วัตถุประสงค์,โครงการวิจัยจะบรรลุ_______ภายในปีนี้
occupy,ยึดครอง,ประเทศญี่ปุ่นได้ยึดครองประเทศไทย ในช่วงสงครามโลกครั้งที่สอง,Japan occupied Thailand during World War II.,occupy,Japan _______ Thailand during World War II.,ยึดครอง,ประเทศญี่ปุ่นได้_______ประเทศไทย ในช่วงสงครามโลกครั้งที่สอง
occur,เกิดขึ้น,ความแปรปรวนของอากาศที่เกิดขึ้นในระยะนี้เป็นผลจากภาวะโลกร้อน,Weather fluctuations occurring now are the result of global warming.,occur,Weather fluctuations _______ now are the result of global warming.,เกิดขึ้น,ความแปรปรวนของอากาศที่_______ในระยะนี้เป็นผลจากภาวะโลกร้อน
option,ทางเลือก,ผู้ใช้แรงงานไม่มีทางเลือกมากนักในสถานการณ์เช่นนี้ นอกจากต้องประหยัดมากขึ้น,"Workers have few options in a situation like this, other than to be more frugal.",option,"Workers have few _______ in a situation like this, other than to be more frugal.",ทางเลือก,ผู้ใช้แรงงานไม่มี_______มากนักในสถานการณ์เช่นนี้ นอกจากต้องประหยัดมากขึ้น
outcome,ผล,ความสัมพันธ์นี้จะเกิดผลเป็นรูปธรรม ทั้งเศรษฐกิจ เทคโนโลยี การท่องเที่ยว และแฟชั่น,"This relationship will lead to a tangible outcome in economics, technology, tourism, and fashion.",outcome,"This relationship will lead to a tangible _______ in economics, technology, tourism, and fashion.",ผล,ความสัมพันธ์นี้จะเกิด_______เป็นรูปธรรม ทั้งเศรษฐกิจ เทคโนโลยี การท่องเที่ยว และแฟชั่น
outcome,ผล,ขณะนี้ยังสรุปผลของการประชุมไม่ได้,"At this point, the outcome of the meeting cannot be finalized.",outcome,"At this point, the _______ of the meeting cannot be finalized.",ผล,ขณะนี้ยังสรุป_______ของการประชุมไม่ได้
"output, n. (production)",ผลผลิต,ผลผลิตยางพาราใน 3 จังหวัดภาคใต้ ได้ลดลงถึง 15 %,Rubber output in the three southern provinces has dropped by 15 %.,output,Rubber _______ in the three southern provinces has dropped by 15 %.,ผลผลิต,_______ยางพาราใน 3 จังหวัดภาคใต้ ได้ลดลงถึง 15 %
"overall, adj.",รวม,โดยภาพรวม สื่อพยายามที่จะให้ความสำคัญกับการตรวจสอบ,"In the overall picture, the media has given importance to the investigation.",overall,"In the _______ picture, the media has given importance to the investigation.",รวม,โดยภาพ_______ สื่อพยายามที่จะให้ความสำคัญกับการตรวจสอบ
participate,เข้าร่วม,เด็กนักเรียนชั้นประถม 100 คน จะมาเข้าร่วมการทดสอบ,One hundred primary school children will participate in the test program.,participate,One hundred primary school children will _______ in the test program.,เข้าร่วม,เด็กนักเรียนชั้นประถม 100 คน จะมา_______การทดสอบ
percent,ร้อยละ,เงินเฟ้อพื้นฐานอยู่ที่ร้อยละ 2.4-2.6,Base inflation is around 2.4 to 2.6 percent.,percent,Base inflation is around 2.4 to 2.6 _______.,ร้อยละ,เงินเฟ้อพื้นฐานอยู่ที่_______ 2.4-2.6
"policy, (procedure)",นโยบาย,แม้ประเทศกำลังพัฒนาต้องการจะปฏิบัติตามนโยบาย แต่ก็มีความสามารถไม่เพียงพอ,"Even if developing countries wish to comply with the policy, they lack the capacity.",policy,"Even if developing countries wish to comply with the _______, they lack the capacity.",นโยบาย,แม้ประเทศกำลังพัฒนาต้องการจะปฏิบัติตาม_______ แต่ก็มีความสามารถไม่เพียงพอ
"policy, (insurance)",กรมธรรม์,การขายกรมธรรม์แผนใหม่ๆ จะมีค่านายหน้าสูงสุดถึง 40 เปอร์เซ็นต์,Sales of new policies will have a commission as high as 40%.,policy,Sales of new _______ will have a commission as high as 40%.,กรมธรรม์,การขาย_______แผนใหม่ๆ จะมีค่านายหน้าสูงสุดถึง 40 เปอร์เซ็นต์
"potential, n.",ศักยภาพ,ประเทศอิหร่านเป็นประเทศที่มีศักยภาพพอสมควรในการ(ที่จะ)พัฒนาอาวุธนิวเคลียร์(ได้),Iran is a country with considerable potential to develop nuclear weapons.,potential,Iran is a country with considerable _______ to develop nuclear weapons.,ศักยภาพ,ประเทศอิหร่านเป็นประเทศที่มี_______พอสมควรในการ(ที่จะ)พัฒนาอาวุธนิวเคลียร์(ได้)
predict,คาดการณ์,รายงานวิจัยชิ้นนี้คาดการณ์ว่าภายในปี ค.ศ. 2050 ทั่วโลกจะมีความต้องการน้ำเพิ่มขึ้นอีก 30-85%,"This research predicts that by the year 2050, there will be a worldwide 30-85 percent increase in demand for water.",predict,"This research _______ that by the year 2050, there will be a worldwide 30-85 percent increase in demand for water.",คาดการณ์,รายงานวิจัยชิ้นนี้_______ว่าภายในปี ค.ศ. 2050 ทั่วโลกจะมีความต้องการน้ำเพิ่มขึ้นอีก 30-85%
prejudice,อคติ,รัฐบาลจำเป็นต้องปฏิบัติอต่อประชาชนย่างปราศจากอคติ,The government must behave towards the people without prejudice.,prejudice,The government must behave towards the people without _______.,อคติ,รัฐบาลจำเป็นต้องปฏิบัติอต่อประชาชนย่างปราศจาก_______
"project, n.",โครงการ,ปัญหาในการควบคุมโครงการก่อสร้างนี่มีอะไรบ้าง,What kinds of problems are there in managing a construction project?,project,What kinds of problems are there in managing a construction _______?,โครงการ,ปัญหาในการควบคุม_______ก่อสร้างนี่มีอะไรบ้าง
"project, n.",โครงการ,โครงการนี้ต้องเดินหน้าต่อไป เพราะได้ลงนามในสัญญาก่อสร้างเรียบร้อยแล้ว,This project must go ahead because a construction contract has already been signed.,project,This _______ must go ahead because a construction contract has already been signed.,โครงการ,_______นี้ต้องเดินหน้าต่อไป เพราะได้ลงนามในสัญญาก่อสร้างเรียบร้อยแล้ว
promote,ส่งเสริม,นายกรัฐมนตรีส่งเสริมภาพลักษณ์ทางการเมืองของท่าน โดยไปปรากฏตัวตามที่สาธารณะหลายต่อหลายหน,The prime minister promoted his political image by appearing at many public events.,promote,The prime minister _______ his political image by appearing at many public events.,ส่งเสริม,นายกรัฐมนตรี_______ภาพลักษณ์ทางการเมืองของท่าน โดยไปปรากฏตัวตามที่สาธารณะหลายต่อหลายหน
proportion,สัดส่วน,โครงสร้างและสัดส่วนใบหน้าของชาวผิวขาวและชาวเอเชียมีความแตกต่างกัน,The facial structures and proportions of Caucasians and Asians are different.,proportion,The facial structures and _______ of Caucasians and Asians are different.,สัดส่วน,โครงสร้างและ_______ใบหน้าของชาวผิวขาวและชาวเอเชียมีความแตกต่างกัน
psychology,จิตวิทยา,ทั้งสองต้องเรียนรู้หลักสูตรทั้งจิตวิทยา พลศึกษา และการโภชนาการ,"Both must take courses in psychology, physical education, and nutrition.",psychology,"Both must take courses in _______, physical education, and nutrition.",จิตวิทยา,ทั้งสองต้องเรียนรู้หลักสูตรทั้ง_______ พลศึกษา และการโภชนาการ
psychologist,นักจิตวิทยา,หลักสูตรนี้สอนโดยหมอผี นักจิตวิทยา และตำรวจผู้เชี่ยวชาญอาชญาวิทยา,"The course is taught by exorcists, psychologists and a police criminologist.",psychologist,"The course is taught by exorcists, _______ and a police criminologist.",นักจิตวิทยา,หลักสูตรนี้สอนโดยหมอผี _______ และตำรวจผู้เชี่ยวชาญอาชญาวิทยา
"publish, (print a written work)",ตีพิมพ์,การศึกษาเรื่องนี้ขัดแย้งกับงานที่ตีพิมพ์แล้วชิ้นหนึ่งเมื่อเดือนมิถุนายน,This study contradicts one published in June.,publish,This study contradicts one _______ in June.,ตีพิมพ์,การศึกษาเรื่องนี้ขัดแย้งกับงานที่_______แล้วชิ้นหนึ่งเมื่อเดือนมิถุนายน
"publish, (disseminate a written work)",พิมพ์เผยแพร่,ความสำเร็จที่ยิ่งใหญ่ครั้งแรกของเขาพิมพ์เผยแพร่เมื่อปี 1961,His first major success was published in 1961.,publish,His first major success was _______ in 1961.,พิมพ์เผยแพร่,ความสำเร็จที่ยิ่งใหญ่ครั้งแรกของเขา_______เมื่อปี 1961
